Confirmation,OrbitalPeriod,PlanetRadius,InsolationFlux,EquilibriumTemp,StellarEffectiveTemp,StellarRadius,RA,Dec
CONFIRMED,9.48803557,2.26,793.0,93.59,5455.0,0.927,291.93423,48.141651
CONFIRMED,54.4183827,2.83,443.0,9.11,5455.0,0.927,291.93423,48.141651
CANDIDATE,19.89913995,14.6,638.0,39.3,5853.0,0.868,297.00482,48.134129
FALSE POSITIVE,1.736952453,33.46,1395.0,891.96,5805.0,0.791,285.53461,48.28521
CONFIRMED,2.525591777,2.75,1406.0,926.16,6031.0,1.046,288.75488,48.2262
CONFIRMED,11.09432054,3.9,835.0,114.81,6046.0,0.972,296.28613,48.22467
CONFIRMED,4.13443512,2.77,1160.0,427.65,6046.0,0.972,296.28613,48.22467
CONFIRMED,2.56658897,1.59,1360.0,807.74,6046.0,0.972,296.28613,48.22467
FALSE POSITIVE,7.36178958,39.21,1342.0,767.22,6227.0,1.958,298.86435,42.151569
CONFIRMED,16.06864674,5.76,600.0,30.75,5031.0,0.848,286.99948,48.37579
CONFIRMED,2.470613377,13.04,1339.0,761.46,5820.0,0.964,286.80847,49.316399
CONFIRMED,2.204735417,16.1,2048.0,4148.92,6440.0,1.952,292.24728,47.969521
CONFIRMED,3.522498429,14.59,1521.0,1264.67,6225.0,1.451,281.28812,42.45108
CONFIRMED,3.709214104,1.16,1206.0,500.46,5833.0,1.022,295.64871,48.49556
FALSE POSITIVE,11.521446064,150.51,753.0,75.88,5795.0,0.848,297.07993,47.597401
FALSE POSITIVE,19.40393776,7.18,523.0,17.69,5043.0,0.68,289.25821,47.635319
FALSE POSITIVE,19.221388942,49.29,698.0,55.97,6117.0,0.947,295.81454,47.69035
FALSE POSITIVE,16.46983774,7.94,595.0,29.61,5152.0,0.786,297.15442,47.668701
CONFIRMED,9.27358173,2.47,649.0,41.85,4856.0,0.696,288.13824,47.724449
CONFIRMED,6.02930329,2.85,678.0,50.04,4537.0,0.672,283.71088,47.86327
FALSE POSITIVE,2.696370652,1.58,1066.0,305.34,4989.0,0.819,283.76547,47.804298
CONFIRMED,5.349553819,2.55,919.0,168.99,5185.0,0.91,292.37613,47.880989
CONFIRMED,3.94105221,1.7,1018.0,253.15,5185.0,0.91,292.37613,47.880989
CONFIRMED,8.10904807,1.3,800.0,97.03,5185.0,0.91,292.37613,47.880989
FALSE POSITIVE,386.6030528,41.5,297.0,1.84,5543.0,1.58,292.27374,37.671558
CONFIRMED,21.67699193,2.95,530.0,18.64,4954.0,0.828,290.46512,47.92918
CONFIRMED,4.99677968,2.78,917.0,166.95,5339.0,0.847,297.80826,47.946671
CONFIRMED,4.280963604,2.3,1012.0,247.87,5644.0,0.831,294.26581,49.314091
FALSE POSITIVE,1.50635409,4.53,1452.0,1054.12,5714.0,0.831,295.66522,49.351009
FALSE POSITIVE,670.645531,14.14,196.0,0.35,5520.0,0.983,296.69861,49.316479
FALSE POSITIVE,61.2563628,39.87,505.0,15.43,6144.0,1.091,283.72592,49.479519
CONFIRMED,38.3775486,2.82,529.0,18.53,5481.0,1.036,291.72202,49.480869
CONFIRMED,41.19725502,3.86,439.0,8.76,5031.0,0.848,286.99948,48.37579
CONFIRMED,6.252962249,2.65,823.0,108.3,5031.0,0.848,286.99948,48.37579
CONFIRMED,16.01308419,3.1,593.0,29.31,5015.0,0.826,297.02563,48.478588
CONFIRMED,32.62876672,3.36,506.0,15.55,5586.0,0.798,285.71854,48.505859
CONFIRMED,91.7732862,2.12,359.0,3.92,5586.0,0.798,285.71854,48.505859
CONFIRMED,4.959319244,12.21,1103.0,349.4,5712.0,1.082,292.16705,48.727589
FALSE POSITIVE,2.701287801,6.54,1222.0,527.81,5550.0,0.91,297.92365,48.777321
CONFIRMED,4.49876511,2.1,1133.0,389.62,6075.0,0.969,298.45685,48.791592
FALSE POSITIVE,19.651209505,12.42,730.0,67.03,6074.0,1.063,291.0939,48.933842
CONFIRMED,5.412203927,2.94,1093.0,337.68,5779.0,1.087,287.88733,46.276241
CONFIRMED,41.43958662,5.5,516.0,16.72,5468.0,1.046,295.55505,49.017342
CONFIRMED,8.35389523,2.52,790.0,91.9,5592.0,0.787,285.49924,49.277351
CONFIRMED,4.125543472,4.43,1243.0,565.35,6174.0,1.103,291.93616,49.253979
CONFIRMED,2.816504904,12.21,1219.0,521.13,5532.0,0.955,297.01547,49.225288
FALSE POSITIVE,33.93373447,7.34,430.0,8.11,5040.0,0.705,284.17233,49.360722
CONFIRMED,3.689920099,1.89,1147.0,408.99,5880.0,0.917,291.62241,50.61824
CONFIRMED,4.431238488,3.25,1104.0,351.23,5714.0,1.015,295.81616,51.121738
CONFIRMED,11.37936986,3.95,806.0,99.68,5714.0,1.015,295.81616,51.121738
CONFIRMED,26.39432897,3.07,489.0,13.49,5129.0,0.763,289.39972,51.25032
CONFIRMED,13.57078281,2.64,785.0,89.61,5854.0,1.012,300.86398,44.337551
CONFIRMED,7.12594387,1.79,997.0,233.31,5779.0,1.087,287.88733,46.276241
FALSE POSITIVE,7.442652004,15.03,967.0,206.78,6108.0,0.956,288.98682,49.733742
CONFIRMED,16.38489988,2.0,433.0,8.35,4126.0,0.615,286.73804,49.97575
CONFIRMED,7.8774163,2.16,553.0,22.18,4126.0,0.615,286.73804,49.97575
CONFIRMED,36.4454001,1.99,332.0,2.88,4126.0,0.615,286.73804,49.97575
CONFIRMED,3.728732147,6.02,1023.0,258.34,5497.0,0.809,290.78574,50.054119
CANDIDATE,40.4195037,7.51,467.0,11.29,5446.0,0.781,294.31686,50.080231
CONFIRMED,2.243380573,1.99,822.0,107.6,4149.0,0.564,285.17621,50.149818
FALSE POSITIVE,10.405998015,11.23,833.0,113.94,5746.0,0.924,289.23553,50.241001
CONFIRMED,2.337437946,2.34,1070.0,311.16,5005.0,0.765,293.83331,50.23035
CANDIDATE,7.2406612,19.45,734.0,68.63,5005.0,0.765,293.83331,50.23035
CANDIDATE,3.43591631,0.55,1272.0,617.61,5779.0,1.087,287.88733,46.276241
CONFIRMED,11.59822233,2.65,396.0,5.82,3688.0,0.473,296.22195,50.28722
CONFIRMED,6.575315881,5.31,1015.0,251.38,5992.0,0.989,290.09805,50.321609
CONFIRMED,7.275040844,4.86,833.0,113.64,5485.0,0.867,295.45529,50.49456
CONFIRMED,19.27153892,1.93,393.0,5.66,4077.0,0.56,293.97336,50.53191
CONFIRMED,10.06524317,1.91,488.0,13.43,4077.0,0.56,293.97336,50.53191
CONFIRMED,12.3935651,2.66,677.0,49.68,5557.0,0.75,296.02133,50.56778
CONFIRMED,43.84439721,2.87,531.0,18.77,5854.0,1.012,300.86398,44.337551
FALSE POSITIVE,3.341913228,21.55,1032.0,268.67,5295.0,0.811,292.31595,38.27029
FALSE POSITIVE,1.626630225,32.43,1547.0,1355.88,5735.0,0.973,294.36819,38.31028
CONFIRMED,2.711504086,3.12,1420.0,960.79,6214.0,1.076,291.65353,38.494659
CONFIRMED,7.21203748,3.32,1025.0,260.58,6214.0,1.076,291.65353,38.494659
FALSE POSITIVE,14.1798187,1.88,711.0,60.35,5799.0,0.878,291.0448,51.321671
