# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  5 00:48:44 2025
#
# User preference: *
#
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,ra,dec
CONFIRMED,9.488035570,2.95750,6.1580e+02,2.26,793.0,93.59,5455.00,0.9270,291.934230,48.141651
CONFIRMED,54.418382700,4.50700,8.7480e+02,2.83,443.0,9.11,5455.00,0.9270,291.934230,48.141651
CANDIDATE,19.899139950,1.78220,1.0829e+04,14.60,638.0,39.30,5853.00,0.8680,297.004820,48.134129
FALSE POSITIVE,1.736952453,2.40641,8.0792e+03,33.46,1395.0,891.96,5805.00,0.7910,285.534610,48.285210
CONFIRMED,2.525591777,1.65450,6.0330e+02,2.75,1406.0,926.16,6031.00,1.0460,288.754880,48.226200
CONFIRMED,11.094320540,4.59450,1.5175e+03,3.90,835.0,114.81,6046.00,0.9720,296.286130,48.224670
CONFIRMED,4.134435120,3.14020,6.8600e+02,2.77,1160.0,427.65,6046.00,0.9720,296.286130,48.224670
CONFIRMED,2.566588970,2.42900,2.2650e+02,1.59,1360.0,807.74,6046.00,0.9720,296.286130,48.224670
FALSE POSITIVE,7.361789580,5.02200,2.3370e+02,39.21,1342.0,767.22,6227.00,1.9580,298.864350,42.151569
CONFIRMED,16.068646740,3.53470,4.9143e+03,5.76,600.0,30.75,5031.00,0.8480,286.999480,48.375790
CONFIRMED,2.470613377,1.74319,1.4231e+04,13.04,1339.0,761.46,5820.00,0.9640,286.808470,49.316399
CONFIRMED,2.204735417,3.88864,6.6747e+03,16.10,2048.0,4148.92,6440.00,1.9520,292.247280,47.969521
CONFIRMED,3.522498429,3.19843,9.1457e+03,14.59,1521.0,1264.67,6225.00,1.4510,281.288120,42.451080
CONFIRMED,3.709214104,2.63020,1.3110e+02,1.16,1206.0,500.46,5833.00,1.0220,295.648710,48.495560
FALSE POSITIVE,11.521446064,3.63990,1.7984e+04,150.51,753.0,75.88,5795.00,0.8480,297.079930,47.597401
FALSE POSITIVE,19.403937760,12.21550,8.9187e+03,7.18,523.0,17.69,5043.00,0.6800,289.258210,47.635319
FALSE POSITIVE,19.221388942,4.79843,7.4284e+04,49.29,698.0,55.97,6117.00,0.9470,295.814540,47.690350
FALSE POSITIVE,16.469837740,9.43780,1.0479e+04,7.94,595.0,29.61,5152.00,0.7860,297.154420,47.668701
CONFIRMED,9.273581730,3.28750,1.2883e+03,2.47,649.0,41.85,4856.00,0.6960,288.138240,47.724449
CONFIRMED,6.029303290,1.58210,1.9127e+03,2.85,678.0,50.04,4537.00,0.6720,283.710880,47.863270
FALSE POSITIVE,2.696370652,3.61290,3.9790e+02,1.58,1066.0,305.34,4989.00,0.8190,283.765470,47.804298
CONFIRMED,5.349553819,3.02780,8.3100e+02,2.55,919.0,168.99,5185.00,0.9100,292.376130,47.880989
CONFIRMED,3.941052210,2.59840,3.6330e+02,1.70,1018.0,253.15,5185.00,0.9100,292.376130,47.880989
CONFIRMED,8.109048070,3.59600,2.1740e+02,1.30,800.0,97.03,5185.00,0.9100,292.376130,47.880989
FALSE POSITIVE,386.603052800,6.80570,2.4927e+04,41.50,297.0,1.84,5543.00,1.5800,292.273740,37.671558
CONFIRMED,21.676991930,3.45550,8.5720e+02,2.95,530.0,18.64,4954.00,0.8280,290.465120,47.929180
CONFIRMED,4.996779680,2.17170,9.3470e+02,2.78,917.0,166.95,5339.00,0.8470,297.808260,47.946671
CONFIRMED,4.280963604,2.87500,7.5080e+02,2.30,1012.0,247.87,5644.00,0.8310,294.265810,49.314091
FALSE POSITIVE,1.506354090,1.51550,2.2117e+03,4.53,1452.0,1054.12,5714.00,0.8310,295.665220,49.351009
FALSE POSITIVE,670.645531000,53.41200,1.8091e+04,14.14,196.0,0.35,5520.00,0.9830,296.698610,49.316479
FALSE POSITIVE,61.256362800,7.63300,5.1233e+03,39.87,505.0,15.43,6144.00,1.0910,283.725920,49.479519
CONFIRMED,38.377548600,5.58800,7.2420e+02,2.82,529.0,18.53,5481.00,1.0360,291.722020,49.480869
CONFIRMED,41.197255020,4.62970,2.2139e+03,3.86,439.0,8.76,5031.00,0.8480,286.999480,48.375790
CONFIRMED,6.252962249,2.58190,1.0369e+03,2.65,823.0,108.30,5031.00,0.8480,286.999480,48.375790
CONFIRMED,16.013084190,3.25540,1.1219e+03,3.10,593.0,29.31,5015.00,0.8260,297.025630,48.478588
CONFIRMED,32.628766720,4.79710,1.8048e+03,3.36,506.0,15.55,5586.00,0.7980,285.718540,48.505859
CONFIRMED,91.773286200,6.47300,6.5200e+02,2.12,359.0,3.92,5586.00,0.7980,285.718540,48.505859
CONFIRMED,4.959319244,2.22739,9.8020e+03,12.21,1103.0,349.40,5712.00,1.0820,292.167050,48.727589
FALSE POSITIVE,2.701287801,3.38270,8.6040e+02,6.54,1222.0,527.81,5550.00,0.9100,297.923650,48.777321
CONFIRMED,4.498765110,3.73620,4.6000e+02,2.10,1133.0,389.62,6075.00,0.9690,298.456850,48.791592
FALSE POSITIVE,19.651209505,5.25140,1.1766e+04,12.42,730.0,67.03,6074.00,1.0630,291.093900,48.933842
CONFIRMED,5.412203927,2.94720,6.0160e+02,2.94,1093.0,337.68,5779.00,1.0870,287.887330,46.276241
CONFIRMED,41.439586620,10.59890,2.7931e+03,5.50,516.0,16.72,5468.00,1.0460,295.555050,49.017342
CONFIRMED,8.353895230,2.25140,1.0416e+03,2.52,790.0,91.90,5592.00,0.7870,285.499240,49.277351
CONFIRMED,4.125543472,3.17440,1.4873e+03,4.43,1243.0,565.35,6174.00,1.1030,291.936160,49.253979
CONFIRMED,2.816504904,2.50587,1.6814e+04,12.21,1219.0,521.13,5532.00,0.9550,297.015470,49.225288
FALSE POSITIVE,33.933734470,14.56100,8.5037e+03,7.34,430.0,8.11,5040.00,0.7050,284.172330,49.360722
